,T0-S0,T0-S1,T1-S0,T1-S1,T2-S0,T2-S1,T3-S0,T3-S1,T4-S0,T4-S1,T5-S0,T5-S1,T6-S0,T6-S1,T7-S0,T7-S1,T8-S0,T8-S1,T9-S0,T9-S1,T10-S0,T10-S1,T11-S0,T11-S1,T12-S0,T12-S1,T13-S0,T13-S1,T14-S0,T14-S1,T15-S0,T15-S1,T16-S0,T16-S1,T17-S0,T17-S1,T18-S0,T18-S1,T19-S0,T19-S1,T20-S0,T20-S1,T21-S0,T21-S1,T22-S0,T22-S1,T23-S0,T23-S1,T24-S0,T24-S1,T25-S0,T25-S1,T26-S0,T26-S1,T27-S0,T27-S1,T28-S0,T28-S1,T29-S0,T29-S1
,mani,terribl,histor,true,more,avail,amaz,unaccept,power,disappoint,satisfi,roug,classic,problem,real,complaint,sure,scari,funni,terribl,other,vertigin,abl,regret,better,sad,dark,late,old,problem,funni,differ,most,littl,new,nasti,classic,nasti,david,wonder,own,complaint,excel,high,perfect,troubl,big,special,big,onli,mani,abl,univers,annoi,wonder,annoi,earli,classic,last,much
,jane,upset,amaz,most,phantom,more,origin,broad,sever,next,passion,hilari,least,contemporari,typic,few,scari,few,wonder,second,long,tarkovsi,most,mani,greatest,nasti,short,same,perfect,few,legal,best,classic,corpor,much,more,happi,troubl,solid,next,glad,cool,perfect,wors,fine,high,nice,slow,old,difficult,young,worthless,singl,bore,mani,terribl,true,french,new,annoi
,classic,interest,recommend,inferior,strong,problem,impress,high,least,terribl,fantast,unaccept,superb,dramat,complet,real,honest,unaccept,hard,entir,few,big,young,dead,big,much,carl,top,happi,top,next,full,christma,problem,true,problem,wonder,decent,sad,sympathet,littl,unaccept,sever,long,beauti,own,altern,old,funni,complet,italian,crazi,greatest,next,nice,slow,worth,late,better,entertain
,blond,wonder,happi,black,awesom,erot,recomend,monahan,long,final,younger,most,young,same,true,aw,attract,bleu,true,hard,first,same,wonder,problem,most,annoi,last,real,enjoi,same,onli,problem,long,imagin,first,upset,new,fine,stun,predict,much,dumb,sad,least,true,small,favorit,neg,recommend,own,ancient,inferior,own,big,long,differ,attract,fascin,magic,enjoy
,fantast,red,true,complain,soft,own,glad,whole,small,polit,old,horribl,such,compel,short,vampir,mani,worthless,hollywood,wast,onli,few,better,real,last,next,nuclear,black,hilari,mess,fruitless,tommi,amaz,grand,funni,sure,corni,classic,same,same,entertain,terrif,juli,true,favorit,interest,last,main,enjoi,stupid,right,right,fantast,hard,own,best,hard,cinemat,easi,high
,same,weird,best,old,true,mani,cool,hilari,classic,dark,cari,junk,impress,sequenti,hilari,least,same,dumb,onli,harvei,own,idiosyncrat,classic,much,entir,import,better,dark,superb,nasti,own,firefli,stargat,own,brilliant,young,full,arctic,interest,unwil,mani,own,dead,mess,greatest,scari,young,roland,purpl,sorri,naiv,charli,last,new,real,scari,romant,dead,human,special
,romant,junk,fantast,celesti,own,same,realist,mess,strong,major,full,sound,true,hate,pace,hilari,posit,complaint,differ,neg,big,ellipt,tortur,mess,true,latest,funni,mess,sweet,whole,favorit,big,memor,upset,same,few,final,eric,incred,unaccept,satisfi,glitchet,short,neg,young,last,deep,legal,more,origin,sure,inform,nice,disappoint,old,mani,recommend,worst,hard,real
,smart,complain,favorit,complaint,major,black,nice,funni,fun,true,avail,classic,english,littl,least,softcor,wild,fossei,last,poor,ford,disjunct,entertain,hate,abl,crazi,soviet,small,nice,overal,special,whole,superb,compel,beauti,most,evil,neg,younger,wet,wonder,polit,impress,enough,amaz,aw,michael,annoi,complet,harrison,usual,complain,old,upset,amaz,much,comic,fine,high,christma
,glad,onli,real,red,differ,annoi,sever,hard,polit,sure,nice,full,top,annoi,whole,much,silli,mani,main,black,wonder,peripher,mani,white,richard,tabloid,big,whole,greatest,chri,happi,obviou,nice,hard,hot,onli,satisfi,mess,smart,rebel,woodi,upset,whole,abl,littl,fine,hilari,entir,impress,hard,martial,gratuit,big,origin,michel,main,older,nasti,cute,own
,impress,much,worth,special,funni,disturb,funniest,atlant,fine,ugli,cute,regret,onli,innoc,posit,unaccept,black,comic,familiar,small,comfort,other,sever,big,superb,plastic,local,next,few,big,littl,anti,high,troubl,big,funni,seriou,dark,true,funni,least,crazi,small,human,own,slant,glad,such,origin,better,crazi,old,onli,last,main,cool,delight,hard,least,weird
